Date,High,Low,Open,Close,Volume,Adj Close
2015-08-28,1163.050048828125,1149.469970703125,1149.550048828125,1162.9100341796875,39490800,1162.9100341796875
2015-08-31,1164.8900146484375,1156.3699951171875,1161.010009765625,1159.449951171875,39151000,1159.449951171875
2015-09-01,1151.530029296875,1124.4599609375,1148.31005859375,1128.050048828125,43718500,1128.050048828125
2015-09-02,1146.030029296875,1128.050048828125,1128.050048828125,1146.030029296875,37426200,1146.030029296875
2015-09-03,1157.6300048828125,1143.7900390625,1148.6199951171875,1145.1500244140625,35207000,1145.1500244140625
2015-09-04,1142.550048828125,1130.75,1132.949951171875,1136.1700439453125,31670900,1136.1700439453125
2015-09-08,1162.449951171875,1139.0699462890625,1139.0699462890625,1161.760009765625,35486500,1161.760009765625
2015-09-09,1170.199951171875,1147.3299560546875,1162.719970703125,1148.22998046875,36521200,1148.22998046875
2015-09-10,1158.260009765625,1146.469970703125,1147.989990234375,1153.030029296875,36263200,1153.030029296875
2015-09-11,1157.9100341796875,1143.72998046875,1152.510009765625,1157.7900390625,32185900,1157.7900390625
2015-09-14,1159.1700439453125,1151.31005859375,1158.030029296875,1153.5,30002000,1153.5
2015-09-15,1167.280029296875,1153.9300537109375,1153.9300537109375,1166.0,32398600,1166.0
2015-09-16,1175.8900146484375,1165.4100341796875,1166.1700439453125,1175.199951171875,36306800,1175.199951171875
2015-09-17,1193.989990234375,1173.699951171875,1175.0899658203125,1180.68994140625,41837900,1180.68994140625
2015-09-18,1175.3399658203125,1160.6600341796875,1175.3399658203125,1163.3499755859375,60002400,1163.3499755859375
2015-09-21,1177.9599609375,1158.0999755859375,1165.0400390625,1161.0899658203125,32593500,1161.0899658203125
2015-09-22,1158.4200439453125,1137.699951171875,1158.4200439453125,1143.030029296875,38082600,1143.030029296875
2015-09-23,1149.219970703125,1137.4100341796875,1143.4100341796875,1140.050048828125,31905300,1140.050048828125
2015-09-24,1138.9599609375,1124.75,1137.8800048828125,1137.5400390625,40915300,1137.5400390625
2015-09-25,1146.719970703125,1119.300048828125,1140.239990234375,1122.7900390625,37218700,1122.7900390625
2015-09-28,1121.8699951171875,1087.469970703125,1121.8699951171875,1090.5699462890625,43266600,1090.5699462890625
2015-09-29,1098.02001953125,1078.6300048828125,1090.949951171875,1083.9100341796875,41323900,1083.9100341796875
2015-09-30,1101.9300537109375,1087.0799560546875,1087.0799560546875,1100.68994140625,45250700,1100.68994140625
2015-10-01,1103.699951171875,1083.9000244140625,1100.8900146484375,1097.550048828125,39836000,1097.550048828125
2015-10-02,1114.1199951171875,1080.6099853515625,1095.5799560546875,1114.1199951171875,43785700,1114.1199951171875
2015-10-05,1142.1800537109375,1115.8199462890625,1115.8199462890625,1141.6400146484375,43344900,1141.6400146484375
2015-10-06,1143.6300048828125,1127.1199951171875,1141.4300537109375,1133.68994140625,42024000,1133.68994140625
2015-10-07,1152.6099853515625,1134.489990234375,1134.489990234375,1152.5999755859375,46664700,1152.5999755859375
2015-10-08,1164.5799560546875,1149.300048828125,1152.4300537109375,1163.239990234375,39391400,1163.239990234375
2015-10-09,1168.760009765625,1162.9100341796875,1163.6400146484375,1165.3599853515625,37069000,1165.3599853515625
2015-10-12,1166.510009765625,1159.5400390625,1165.449951171875,1164.4000244140625,28932500,1164.4000244140625
2015-10-13,1169.7099609375,1147.8399658203125,1163.25,1147.8399658203125,34019200,1147.8399658203125
2015-10-14,1153.469970703125,1136.06005859375,1147.8800048828125,1136.969970703125,36445900,1136.969970703125
2015-10-15,1162.8199462890625,1135.6700439453125,1137.97998046875,1162.77001953125,37062900,1162.77001953125
2015-10-16,1165.22998046875,1152.5699462890625,1163.5899658203125,1162.31005859375,35954300,1162.31005859375
2015-10-19,1168.9200439453125,1155.5699462890625,1161.800048828125,1164.300048828125,32873200,1164.300048828125
2015-10-20,1169.6099853515625,1159.0799560546875,1164.3699951171875,1163.27001953125,33315000,1163.27001953125
2015-10-21,1167.010009765625,1144.9000244140625,1164.02001953125,1144.949951171875,36277900,1144.949951171875
2015-10-22,1160.0799560546875,1145.800048828125,1147.0899658203125,1154.52001953125,44308500,1154.52001953125
2015-10-23,1166.4200439453125,1155.6500244140625,1157.0400390625,1166.06005859375,41084600,1166.06005859375
2015-10-26,1165.77001953125,1157.52001953125,1165.77001953125,1159.5,33858000,1159.5
2015-10-27,1158.530029296875,1139.9200439453125,1158.530029296875,1145.2900390625,42168800,1145.2900390625
2015-10-28,1178.780029296875,1145.47998046875,1145.47998046875,1178.719970703125,46981100,1178.719970703125
2015-10-29,1178.3599853515625,1164.239990234375,1178.3599853515625,1165.6300048828125,40089400,1165.6300048828125
2015-10-30,1167.6500244140625,1159.6600341796875,1165.47998046875,1161.8599853515625,42562000,1161.8599853515625
2015-11-02,1187.6199951171875,1161.949951171875,1161.949951171875,1186.0899658203125,37600200,1186.0899658203125
2015-11-03,1196.56005859375,1182.3699951171875,1185.780029296875,1191.5799560546875,42720600,1191.5799560546875
2015-11-04,1196.1400146484375,1185.3900146484375,1192.280029296875,1190.3800048828125,40788700,1190.3800048828125
2015-11-05,1191.9300537109375,1179.739990234375,1190.31005859375,1190.68994140625,40518900,1190.68994140625
2015-11-06,1199.9599609375,1181.780029296875,1190.030029296875,1199.75,43690200,1199.75
2015-11-09,1199.5799560546875,1180.56005859375,1199.5799560546875,1184.4300537109375,38823500,1184.4300537109375
2015-11-10,1187.719970703125,1177.4300537109375,1183.68994140625,1187.699951171875,38214400,1187.699951171875
2015-11-11,1189.8499755859375,1178.06005859375,1188.27001953125,1178.0699462890625,36924100,1178.0699462890625
2015-11-12,1177.3499755859375,1154.3800048828125,1177.3499755859375,1154.81005859375,40163700,1154.81005859375
2015-11-13,1158.4300537109375,1144.3399658203125,1154.0899658203125,1146.550048828125,42787500,1146.550048828125
2015-11-16,1156.219970703125,1140.760009765625,1146.3699951171875,1156.0799560546875,37412400,1156.0799560546875
2015-11-17,1166.3399658203125,1152.489990234375,1156.1600341796875,1153.2099609375,44273500,1153.2099609375
2015-11-18,1172.02001953125,1153.3900146484375,1153.3900146484375,1171.75,39263900,1171.75
2015-11-19,1172.2900390625,1164.18994140625,1171.699951171875,1166.72998046875,36281100,1166.72998046875
2015-11-20,1178.739990234375,1168.3499755859375,1168.3499755859375,1175.1500244140625,39296000,1175.1500244140625
2015-11-23,1184.4100341796875,1173.75,1174.8900146484375,1180.3599853515625,35879800,1180.3599853515625
2015-11-24,1189.6600341796875,1172.8800048828125,1179.22998046875,1188.81005859375,38849300,1188.81005859375
2015-11-25,1198.530029296875,1188.510009765625,1188.9000244140625,1198.02001953125,28529400,1198.02001953125
2015-11-27,1203.68994140625,1195.8399658203125,1197.9100341796875,1202.3800048828125,14668400,1202.3800048828125
2015-11-30,1204.8699951171875,1197.199951171875,1202.77001953125,1198.1099853515625,42450300,1198.1099853515625
2015-12-01,1204.4000244140625,1195.68994140625,1198.9300537109375,1204.1600341796875,37121200,1204.1600341796875
2015-12-02,1205.0799560546875,1190.8499755859375,1203.8900146484375,1191.68994140625,39506400,1191.68994140625
2015-12-03,1196.6800537109375,1168.1500244140625,1192.699951171875,1170.5699462890625,43064900,1170.5699462890625
2015-12-04,1183.8199462890625,1170.489990234375,1170.6400146484375,1183.4000244140625,42149100,1183.4000244140625
2015-12-07,1183.0699462890625,1161.5799560546875,1183.0699462890625,1164.300048828125,40438200,1164.300048828125
2015-12-08,1163.72998046875,1151.27001953125,1162.25,1159.4000244140625,41735700,1159.4000244140625
2015-12-09,1165.56005859375,1142.75,1158.97998046875,1145.8699951171875,43852500,1145.8699951171875
2015-12-10,1154.8399658203125,1144.030029296875,1145.6600341796875,1149.02001953125,37151500,1149.02001953125
2015-12-11,1146.22998046875,1121.27001953125,1146.22998046875,1123.6099853515625,43010600,1123.6099853515625
2015-12-14,1126.489990234375,1108.760009765625,1123.6300048828125,1115.8599853515625,46124400,1115.8599853515625
2015-12-15,1133.3199462890625,1117.02001953125,1117.02001953125,1131.550048828125,43535400,1131.550048828125
2015-12-16,1150.27001953125,1133.8199462890625,1133.8199462890625,1148.969970703125,45954500,1148.969970703125
2015-12-17,1151.4000244140625,1135.3499755859375,1149.2099609375,1135.3599853515625,43273900,1135.3599853515625
2015-12-18,1134.949951171875,1120.469970703125,1134.949951171875,1121.02001953125,66830700,1121.02001953125
2015-12-21,1130.4000244140625,1120.6099853515625,1122.1600341796875,1127.739990234375,37602800,1127.739990234375
